#{"t_start": 1704238402.0581994, "env_id": "None"}
r,l,t
0.0,47,1.474094
27.864942,140,3.371123
12.955386,57,4.407316
10.180304,71,5.539477
2.985193,14,6.162773
18.886419,33,6.953687
13.721286,34,7.765524
10.821584,52,8.713173
18.457161,136,10.284017
16.670428,35,11.015023
7.727677,61,11.947207
5.095523,31,12.650488
18.703577,44,13.44457
3.035016,102,14.668774
1.807571,23,15.293104
3.355432,19,15.893465
2.801676,19,16.501788
5.695948,16,17.075255
6.751077,22,17.689578
0.457624,45,18.498596
4.024279,41,19.278467
3.822359,38,20.015987
8.469191,16,20.597469
9.538414,40,21.373394
0.6632,40,22.16674
9.0812,28,22.835953
19.778223,115,24.223871
13.54929,45,25.039566
7.757746,24,25.704826
0.970428,34,26.450867
12.610176,41,27.257749
11.507179,77,28.369829
16.558447,77,29.425964
6.051244,19,30.037607
4.002025,96,31.291234
17.030633,60,32.399257
0.150032,76,33.852402
2.878433,86,35.299747
2.127976,33,36.329992
2.472254,50,37.295691
6.926755,53,38.42966
7.611622,40,39.319309
5.650593,30,40.149027
41.366064,81,41.509741
3.328258,44,42.493306
5.70205,32,43.368929
0.0,33,44.185771
22.115256,64,45.352918
33.412231,66,46.525778
4.220128,25,47.390508
5.150802,82,48.732195
6.319395,136,50.581412
20.728052,29,51.434129
5.257161,42,52.314051
3.086139,38,53.142105
6.321393,92,54.457278
2.504358,56,55.450675
3.900999,42,56.326578
10.643983,119,57.874661
6.734546,134,59.551358
0.78217,27,60.289639
13.853041,30,61.055618
0.0,35,61.873823
3.340159,32,62.657777
4.78784,51,63.611487
10.532622,21,64.29466
10.47972,25,64.996781
0.0,81,66.25981
7.16883,122,67.905588
28.042164,69,69.064525
8.081221,19,69.724038
10.717808,58,70.742586
7.830603,44,71.714285
11.092095,27,72.539124
7.068967,149,74.380535
5.719224,40,75.292766
4.259475,28,76.082628
6.601223,39,76.91743
0.0,36,77.757503
6.24384,73,78.915442
1.844633,48,79.857182
5.850288,51,80.814623
9.908029,63,81.870087
14.684386,55,82.867381
13.202961,85,84.125243
0.0,84,85.377547
0.0,43,86.38309
11.969635,121,87.971029
3.231387,62,89.020516
7.457044,63,90.082959
4.959745,38,90.912741
1.810889,65,92.020617
5.857791,46,92.825839
8.225984,42,93.614731
6.989454,36,94.339972
1.273388,35,95.044108
9.094963,37,95.782101
2.331596,11,96.317617
0.42198,27,96.968267
4.018291,37,97.711871
6.200419,104,98.966532
3.689948,89,100.10032
1.196636,95,101.30539
10.678024,214,103.427716
12.15414,74,104.43476
6.689442,27,105.082778
4.950292,30,105.769905
2.840596,41,106.541857
2.646833,54,107.408204
0.639854,37,108.137016
2.498493,36,108.852517
7.6833,9,109.360161
0.615032,43,110.130022
8.390164,53,110.98374
0.720628,56,111.86435
17.144577,38,112.599979
3.603483,33,113.303141
8.86979,32,113.986307
8.712253,54,114.851959
2.729037,83,115.941477
0.0,58,116.824121
6.899987,23,117.437777
0.0,34,118.145849
12.141206,104,119.396111
10.963193,60,120.295015
4.293556,52,121.142442
8.70053,30,121.84071
2.396565,51,122.678861
4.601133,87,123.806833
3.924192,87,124.914795
9.689824,91,126.068729
0.31674,137,127.584943
8.244939,78,128.644148
0.0,105,129.922593
4.233165,34,130.638678
0.0,53,131.494602
8.972294,44,132.277856
4.730324,61,133.188432
1.566075,65,134.122672
2.74573,63,135.049551
3.907641,34,135.757658
0.0,35,136.472711
1.988765,44,137.259056
4.298589,20,137.857292
0.0,30,138.548768
8.624423,106,139.838534
3.461005,29,140.506768
13.95139,132,141.977182
0.0,36,142.692244
1.757129,61,143.614558
9.324774,76,144.704998
3.069121,44,145.523816
1.118173,39,146.273419
2.141597,40,147.017428
3.828305,18,147.608847
3.139098,105,148.876745
2.187008,14,149.420053
1.809729,39,150.171982
1.033389,171,151.976219
15.424293,146,153.567888
10.337185,118,154.940496
2.181833,45,155.749077
6.09975,35,156.466121
12.505276,96,157.650178
0.402337,95,158.850826
3.750924,13,159.412466
3.958256,35,160.13039
2.164471,114,161.489292
2.124542,24,162.11266
4.448848,26,162.756254
0.845513,28,163.409804
9.914205,102,164.642946
9.947164,44,165.432798
4.62648,84,166.531149
1.73124,39,167.277154
9.880119,62,169.252531
1.192632,50,172.048443
0.0,25,173.74177
1.103269,72,177.885138
0.0,9,178.816966
3.449039,38,181.220784
10.116868,136,187.798096
2.230291,31,190.010817
0.0,33,191.992517
2.665852,63,195.290701
4.248291,39,197.518745
9.013249,153,204.901168
4.831525,31,206.850955
6.292486,29,208.660119
1.824615,33,210.726845
1.266999,22,212.393617
3.398958,31,214.445133
1.589226,53,217.766623
2.434927,35,219.960051
2.084422,40,222.3868
4.211068,38,224.691953
13.589167,21,226.248529
0.0,33,228.371534
4.065697,75,232.404952
4.516807,12,233.471529
0.75103,48,236.309878
6.324839,40,238.676534
5.102619,68,242.361111
7.311263,53,245.350281
3.757178,18,246.693691
11.848491,44,249.241587
