#{"t_start": 1704554890.38357, "env_id": "None"}
r,l,t
3.797313,44,1.444306
2.205121,15,2.098555
3.18806,21,2.834587
17.706116,112,4.314636
3.827839,27,5.087608
22.100014,55,6.081936
10.471882,32,6.898798
33.578453,83,8.144469
13.996368,67,9.224583
4.938474,31,10.005534
1.751227,63,11.107549
10.274006,92,12.532778
15.717298,119,14.140442
1.522782,35,14.952346
1.133803,85,16.239911
2.763025,76,17.489528
0.295868,79,18.671404
11.886788,46,19.563982
12.2193,22,20.250152
19.73891,88,21.528768
12.113166,38,22.391506
7.438846,34,23.211276
3.880751,15,23.85858
12.82811,54,24.823005
25.469635,66,25.899166
8.506257,45,26.796804
7.995263,19,27.489951
18.962712,48,28.428514
5.252928,47,29.391882
16.993357,20,30.101949
11.455692,90,31.388515
14.992297,162,33.306427
1.392331,41,34.1542
5.953306,47,35.051804
14.882356,52,35.99824
10.449344,48,36.913827
4.915069,55,37.871306
16.097893,30,38.628282
3.452361,116,39.965672
11.239677,43,40.72369
4.795993,47,41.519518
13.128616,53,42.369124
26.036466,97,43.556813
16.59307,86,44.638956
2.54889,123,45.992367
30.547995,210,47.988081
2.918093,28,48.636241
5.708286,74,49.622765
9.602083,85,50.720582
12.722993,49,51.536404
9.059976,80,52.586601
3.345557,36,53.318289
8.365461,58,54.187999
3.671589,35,54.888132
4.112311,28,55.542353
8.968028,37,56.255069
6.601068,34,56.944259
8.840666,35,57.644395
0.245852,65,58.563967
13.32777,47,59.356244
17.774635,51,60.189811
9.535338,35,60.899296
15.273062,43,61.662901
14.447478,73,62.663154
2.84284,20,63.267041
1.208021,40,64.002243
35.863494,60,64.890684
28.974537,83,65.972792
2.859834,20,66.572849
9.559483,57,67.445954
1.152469,11,67.960441
15.106221,31,68.637805
4.917487,47,69.432079
36.603279,219,71.515658
19.197139,39,72.258619
5.036777,56,73.140547
7.991551,45,73.924495
40.571103,192,76.071834
19.279785,35,76.795944
4.644362,18,77.410336
6.447857,36,78.165007
8.318263,56,79.055157
1.030037,22,79.675489
4.932748,23,80.282848
11.32309,30,80.945974
7.455235,46,81.740664
7.47772,38,82.463224
13.485242,52,83.326988
14.381094,56,84.207263
3.143203,30,84.887882
16.791882,43,85.652853
7.692588,31,86.33095
4.229153,19,86.918873
5.716791,42,87.662595
7.006504,45,88.42927
26.788761,87,89.517353
2.835582,134,90.984551
3.623416,37,91.698746
12.794442,53,92.536542
7.826071,56,93.411155
9.654402,58,94.28182
17.000714,99,95.469034
4.570603,32,96.153936
1.91678,34,96.86386
2.807778,86,97.937587
9.40521,35,98.645293
14.366103,68,99.611872
11.392573,110,100.869833
13.293028,129,102.289364
5.037981,46,103.085517
12.858083,46,103.881124
5.694497,111,105.155987
11.836731,83,106.214296
4.697483,34,106.923722
6.195586,39,107.661986
3.527262,41,108.415818
16.178123,153,110.050487
12.662642,26,110.693436
10.317785,128,112.11964
0.411458,37,112.831164
2.554034,39,113.582289
1.692991,27,114.218203
4.811121,54,115.066633
0.935671,28,115.719591
9.627229,41,116.473676
23.219012,58,117.354673
7.700418,36,118.070709
3.914684,106,119.327392
0.139269,80,120.38044
76.973246,105,121.602046
14.715682,41,122.358129
10.759938,25,123.003307
13.565022,42,123.764479
15.755139,34,124.467617
2.113151,68,125.435949
3.254096,12,125.954562
2.854051,67,126.890786
13.067362,84,127.987218
22.698198,49,128.802133
3.694957,38,129.541076
0.168272,51,130.36196
19.531765,82,131.425119
4.076922,46,132.205783
18.037957,56,133.074632
16.791876,25,133.710426
2.400189,36,134.423682
18.651364,77,135.50379
4.298117,32,136.252787
21.605547,47,137.062032
47.809659,120,138.407162
2.211905,45,139.176887
5.070226,33,139.878275
7.025067,38,140.614441
31.442707,143,142.138716
9.865168,25,142.762735
10.618255,45,143.578976
31.835243,207,145.587473
7.35908,82,146.65063
9.118224,45,147.441011
7.709676,92,148.562305
3.820909,25,149.176602
24.502707,58,150.046269
6.099433,40,150.790318
14.602542,55,151.634684
4.300987,30,152.291889
7.873631,28,152.941953
2.706292,40,153.692063
10.682916,31,154.360733
9.816366,26,154.987708
4.710952,26,155.630978
13.959315,37,156.347988
2.706392,85,157.415133
7.660975,33,158.105301
18.810547,37,158.827325
5.438489,67,161.862425
28.155288,66,165.330574
