#{"t_start": 1700739269.430358, "env_id": "None"}
r,l,t
2177.271135,961,5.130284
2344.638473,1001,10.240846
402.444511,187,11.528502
2849.953466,1001,16.51396
1690.252162,722,20.304739
410.63961,196,21.646975
2068.613858,1001,26.575535
3034.100752,1001,31.539106
1963.514322,1001,38.675985
3449.358927,1001,46.110137
2321.033182,1001,51.617445
2406.319599,1001,59.198136
2092.952192,1001,91.223649
1657.358568,658,112.561595
446.081289,217,119.813205
389.158156,164,124.963282
321.528015,134,129.379925
232.428741,77,132.330032
175.763002,82,135.441711
390.136692,202,142.385143
404.942767,129,147.022748
42.809718,16,148.096876
702.051933,265,156.844509
454.636558,152,162.233145
203.783352,151,167.574871
835.205719,372,182.408203
114.283217,72,185.993615
219.80085,106,190.639192
180.28689,69,194.28943
242.613706,98,201.041374
520.926605,295,214.398677
359.884917,149,219.945852
1468.398916,763,241.738789
407.033572,241,249.006667
1137.019646,564,265.265234
285.995463,149,270.21301
765.483388,219,276.826786
133.479418,54,278.798598
1570.908764,601,295.909406
355.62847,152,300.568807
637.326154,289,308.948192
634.917891,310,317.990368
273.440144,148,322.710749
428.25605,168,327.781188
1544.252853,765,349.16402
260.804335,175,354.57142
864.476285,361,365.035974
440.520228,245,372.316861
105.56842,56,374.340123
485.018717,188,380.079019
1619.596774,736,400.493001
796.140684,558,415.926363
488.421412,261,423.649054
605.712263,303,432.613003
545.81722,293,441.147182
845.460708,482,458.013309
382.148405,224,464.681807
1030.483136,543,480.403988
2616.108689,1001,509.672526
1077.876722,637,527.874456
353.325647,134,532.047766
871.620911,486,545.651464
228.574074,177,550.929312
937.251121,353,561.308559
149.351656,56,563.371051
1034.775606,431,576.328413
213.045363,109,579.875937
566.285156,286,588.07728
461.827893,230,595.060653
1210.649973,558,616.013705
191.23613,126,622.021662
134.805351,110,626.238893
519.150141,221,634.173288
446.852139,263,642.122916
2499.601135,1001,672.568669
675.799008,336,682.242873
645.876148,312,691.259951
166.174908,81,693.937411
521.509343,207,700.072347
808.762557,373,710.625124
209.35152,104,713.936775
104.545815,39,715.470749
146.718332,54,717.443473
110.327448,41,719.080085
1660.460526,632,736.513936
3448.82545,1001,765.368068
280.286212,151,770.318358
2714.208167,1001,797.959325
682.93379,241,804.921895
160.048146,55,806.901653
126.074037,65,809.160173
201.910882,110,812.682758
371.266287,152,817.428764
109.844251,76,820.050816
1279.848279,475,833.348257
367.349125,223,839.842887
1595.875718,671,858.176649
1493.544865,594,874.636684
168.093973,86,877.417212
1637.653214,668,895.790094
332.418282,97,898.954632
340.555537,127,902.908075
242.327764,86,905.764981
410.483373,193,911.462255
2437.880543,1001,938.852013
1498.851684,792,961.091289
281.456863,169,966.195891
914.98405,391,977.094284
258.722329,141,981.368982
187.610179,168,986.446405
152.736313,83,989.255322
508.899258,273,997.081634
334.11571,174,1002.200893
1274.766317,441,1014.535285
936.298063,494,1028.340332
251.198143,116,1031.975361
590.860397,276,1040.021491
579.40293,309,1051.895744
1004.993766,430,1064.384473
541.419725,296,1073.502089
1728.787763,767,1094.699883
406.738808,228,1101.358151
1158.226666,450,1113.985598
857.038501,454,1126.739307
595.981618,227,1133.251793
868.59024,401,1144.920806
1199.486096,533,1159.911345
597.399951,345,1169.643774
1481.752938,518,1184.240847
775.888358,235,1191.06595
567.273368,180,1196.433283
1323.459634,366,1206.820652
724.316234,271,1214.606166
422.003791,123,1218.451883
283.435209,75,1221.015218
636.469242,166,1225.918088
1242.476528,300,1235.057858
923.854366,299,1243.564342
665.010019,204,1249.457976
177.727834,55,1251.486356
1094.695159,481,1264.998953
